time,open,high,low,close,ATR
2013/01/02 14:30,66.7,67.09,66.69,66.86,
2013/01/02 15:30,66.86,66.88,66.505,66.64,
2013/01/02 16:30,66.64,66.66,66.49,66.6,
2013/01/02 17:30,66.6,66.73,66.52,66.7,
2013/01/02 18:30,66.7,66.79,66.57,66.77,
2013/01/02 19:30,66.77,66.93,66.67,66.89,
2013/01/02 20:30,66.89,67.18,66.88,67.18,
2013/01/03 14:30,67.19,67.31,67.0,67.17,
2013/01/03 15:30,67.18,67.25,67.1,67.23,
2013/01/03 16:30,67.22,67.33,67.22,67.26,
2013/01/03 17:30,67.27,67.28,67.13,67.23,
2013/01/03 18:30,67.23,67.28,66.98,67.03,
2013/01/03 19:30,67.02,67.03,66.715,66.76,
2013/01/03 20:30,66.76,66.875,66.66,66.86,0.2489285714285754
2013/01/04 14:30,66.87,66.87,66.58,66.66,0.2518622448979634
2013/01/04 15:30,66.67,66.68,66.47,66.61,0.2488720845481094
2013/01/04 16:30,66.62,66.83,66.59,66.81,0.2482383642232441
2013/01/04 17:30,66.82,66.84,66.66,66.74,0.2433641953501557
2013/01/04 18:30,66.73,66.76,66.65,66.73,0.2338381813965731
2013/01/04 19:30,66.73,66.87,66.695,66.85,0.2296354541539615
2013/01/04 20:30,66.85,66.855,66.635,66.65,0.2289472074286785
2013/01/07 14:30,66.44,66.56,66.26,66.56,0.2404509783266301
2013/01/07 15:30,66.55,66.69,66.51,66.67,0.2361330513032988
2013/01/07 16:30,66.68,66.7,66.37,66.41,0.2428378333530631
2013/01/07 17:30,66.41,66.53,66.39,66.53,0.2354922738278443
2013/01/07 18:30,66.52,66.57,66.36,66.56,0.233671397125855
2013/01/07 19:30,66.57,66.75,66.52,66.71,0.2334091544740085
2013/01/07 20:30,66.71,66.73,66.62,66.66,0.2245942148687221
2013/01/08 14:30,66.64,66.81,66.39,66.5,0.2385517709495278
2013/01/08 15:30,66.49,66.5,66.17,66.21,0.2450837873102757
2013/01/08 16:30,66.22,66.38,66.21,66.29,0.2397206596452561
2013/01/08 17:30,66.29,66.44,66.21,66.42,0.2390263268134524
2013/01/08 18:30,66.41,66.54,66.4,66.46,0.2319530177553487
2013/01/08 19:30,66.46,66.6,66.36,66.58,0.2325278022013949
2013/01/08 20:30,66.58,66.6,66.39,66.54,0.2309186734727234
2013/01/09 14:30,66.63,66.94,66.56,66.92,0.2429959110818139
2013/01/09 15:30,66.91,66.91,66.79,66.86,0.2349247745759698
2013/01/09 16:30,66.86,66.91,66.79,66.81,0.226715862106257
2013/01/09 17:30,66.8,66.84,66.66,66.76,0.2233790148129533
2013/01/09 18:30,66.77,66.87,66.75,66.83,0.2159947994691713
2013/01/09 19:30,66.84,66.84,66.63,66.77,0.2155665995070882
2013/01/09 20:30,66.77,66.77,66.68,66.76,0.2065975566851525
2013/01/10 14:30,67.22,67.27,66.9,66.91,0.2282691597790695
2013/01/10 15:30,66.91,66.91,66.55,66.71,0.237678505509136
2013/01/10 16:30,66.71,66.82,66.69,66.8,0.2299871836870545
2013/01/10 17:30,66.81,66.85,66.73,66.82,0.2221309562808356
2013/01/10 18:30,66.81,66.86,66.73,66.765,0.215550173689347
2013/01/10 19:30,66.76,67.16,66.75,67.16,0.2294394469972505
2013/01/10 20:30,67.16,67.18,67.11,67.16,0.218050915068876
2013/01/11 14:30,67.14,67.29,67.02,67.04,0.2217615639925285
2013/01/11 15:30,67.04,67.14,67.03,67.03,0.2137785951359192
2013/01/11 16:30,67.03,67.18,67.01,67.13,0.2106515526262108
2013/01/11 17:30,67.13,67.16,67.09,67.12,0.2006050131529096
2013/01/11 18:30,67.12,67.25,67.11,67.25,0.1962760836419875
2013/01/11 19:30,67.25,67.28,67.13,67.27,0.1929706490961316
2013/01/11 20:30,67.27,67.28,67.2,67.25,0.1849013170178364
2013/01/14 14:30,66.91,67.15,66.68,66.74,0.2124083658022761
2013/01/14 15:30,66.73,66.9,66.72,66.82,0.2100934825306855
2013/01/14 16:30,66.83,66.87,66.74,66.77,0.2043725194927801
2013/01/14 17:30,66.79,66.86,66.73,66.85,0.1990601966718669
2013/01/14 18:30,66.85,67.04,66.74,67.01,0.2062701826238772
2013/01/14 19:30,67.03,67.07,66.945,66.95,0.2004651695793145
2013/01/14 20:30,66.95,66.96,66.78,66.95,0.1990033717522201
2013/01/15 14:30,66.64,66.67,66.34,66.41,0.2283602737699186
2013/01/15 15:30,66.4,66.54,66.39,66.47,0.222763111357782
2013/01/15 16:30,66.465,66.61,66.46,66.58,0.217565746260798
2013/01/15 17:30,66.58,66.72,66.58,66.64,0.2120253358135981
2013/01/15 18:30,66.63,66.67,66.43,66.44,0.2140235261126264
2013/01/15 19:30,66.44,66.69,66.42,66.64,0.21802184567601
