time,open,high,low,close,Volume,EMA,ATR,ema,atr,upper_band,lower_band,capital_investment
2008/11/6 14:30,31.5,31.86,30.56,30.74,17724993,,,30.74,,,,1
2008/11/6 18:30,30.76,31.17,30.4,30.59,13086253,,,30.73850746,,,,1
2008/11/7 14:30,30.93,31.48,30.59,31.28,15060553,,,30.74389545,,,,1
2008/11/7 18:30,31.3,31.43,30.72,31.25,10081006,,,30.74893131,,,,1
2008/11/10 14:30,31.94,31.97,30.55,30.79,11138335,,,30.74933996,,,,1
2008/11/10 18:30,30.79,31.04,30.4,30.76,7423487,,,30.74944603,,,,1
2008/11/11 14:30,30.47,30.51,29.73,29.86,11471543,,,30.74059582,,,,1
2008/11/11 18:30,29.87,30.76,29.78,30.15,13544227,,,30.73471924,,,,1
2008/11/12 14:30,29.65,29.79,29.16,29.35,16462881,,,30.72094094,,,,1
2008/11/12 18:30,29.35,29.37,28.65,28.73,12449739,,,30.70113058,,,,1
2008/11/13 14:30,28.63,28.97,27.28,28.03,17801895,,,30.67455217,,,,1
2008/11/13 18:30,28.07,30.53,27.96,30.51,20623722,,,30.67291484,,,,1
2008/11/14 14:30,29.8,30.05,28.96,29.49,17222123,,,30.66114454,,,,1
2008/11/14 18:30,29.48,30.41,28.87,28.97,14652252,,,30.64431723,3.25,95.64431723,-34.35568277,1
2008/11/17 14:30,28.49,29.23,28.26,28.86,16185751,,,30.62656283,3.25,95.62656283,-34.37343717,1
2008/11/17 18:30,28.86,29.06,28.32,28.37,10504956,,,30.60410947,3.25,95.60410947,-34.39589053,1
2008/11/18 14:30,28.56,28.74,27.79,27.98,17036196,,,30.57799893,3.27,95.97799893,-34.82200107,1
2008/11/18 18:30,27.97,28.38,27.39,28.34,19348490,,,30.55573028,2.81,86.75573028,-25.64426972,1
2008/11/19 14:30,28.4,28.78,27.47,27.47,18217092,,,30.5250265,3.29,96.3250265,-35.2749735,1
2008/11/19 18:30,27.46,27.8,26.8,26.83,16573278,,,30.48826006,3.68,104.0882601,-43.11173994,1
2008/11/20 14:30,26.53,27.45,26,26.81,26965659,,,30.45166046,3.7,104.4516605,-43.54833954,1
